2020-04-24--20:04:46 INFO   com.demo  (39-2) I went to buy camouflage trousers but I couldnt find any
2020-04-24--20:04:47 INFO   com.demo  (40-2) Im on a whisky diet. Ive lost three days already.
2020-04-24--20:04:47 INFO   com.demo  (41-2) Im a big fan of whiteboards. I find them quite re-markable.
2020-04-24--20:04:47 INFO   com.demo  (42-2) Im reading a horror story in Braille. Something bad is about to happen I can feel it.
2020-04-24--20:04:48 INFO   com.demo  (43-2) Did you hear about the kidnapping at school? Its okay. He woke up.
2020-04-24--20:04:48 INFO   com.demo  (44-2) What do you call a pig that knows karate? A pork chop!
2020-04-24--20:04:48 INFO   com.demo  (45-2) The problem isnt that obesity runs in your family. The problem is no one runs in your family
2020-04-24--20:04:49 INFO   com.demo  (46-2) I tried to change my password to penis but they said it was too short.
2020-04-24--20:04:49 INFO   com.demo  (47-2) The problem with kleptomaniacs is that they always take things literally
2020-04-24--20:04:49 INFO   com.demo  (48-2) I realised I was dyslexic when I went to a toga party dressed as a goat
2020-04-24--20:04:49 INFO   com.demo  (49-2) A dyslexic man walks into a bra
2020-04-24--20:04:50 INFO   com.demo  (50-2) The truth is out there. Anybody got the URL
2020-04-24--20:04:50 INFO   com.demo  (51-2) UNIX is basically a simple operating system, but you have to be a genius to understand the simplicity
2020-04-24--20:04:50 INFO   com.demo  (52-2) Unix is user friendly. Its just selective about who its friends are
2020-04-24--20:04:51 INFO   com.demo  (53-2) My daily Unix command list: unzip; strip; touch; finger; mount; fsck; more; yes; unmount; sleep
2020-04-24--20:04:51 INFO   com.demo  (54-2) My software never has bugs. It just develops random features.
2020-04-24--20:04:51 INFO   com.demo  (55-2) I would love to change the world, but they wont give me the source code.
2020-04-24--20:04:52 INFO   com.demo  (56-2) Beware of programmers that carry screwdrivers.
2020-04-24--20:04:52 INFO   com.demo  (57-2) Programming today is a race between software engineers striving to build bigger and better idiot-proof programs, and the Universe trying to produce bigger and better idiots. So far, the Universe is winning.
2020-04-24--20:04:52 INFO   com.demo  (58-2) The beginning of the programmers wisdom is understanding the difference between getting program to run and having a runnable program.
2020-04-24--20:04:52 INFO   com.demo  (59-2) If you give someone a program, you will frustrate them for a day; if you teach them how to program, you will frustrate them for a lifetime.
2020-04-24--20:04:53 INFO   com.demo  (60-2) Black holes are where God divided by zero.
2020-04-24--20:04:53 INFO   com.demo  (61-2) If brute force doesnt solve your problems, then you arent using enough.
2020-04-24--20:04:53 INFO   com.demo  (62-2) There are three kinds of people: those who can count and those who cant.
2020-04-24--20:04:54 INFO   com.demo  (63-2) Romantic relationships can actually be represented in algebra. You for example, have definitely at some point looked at your X and asked yourself Y.
2020-04-24--20:04:54 INFO   com.demo  (64-2) My iPod is in Titanic mode right now. It is syncing.
2020-04-24--20:04:54 INFO   com.demo  (65-2) A programmer gets shopping instructions from his wife: Go buy a cauliflower. If they have oranges, get two dozens. He comes home with 24 cauliflowers.
2020-04-24--20:04:55 INFO   com.demo  (66-2) How can you tell a programmer is an extrovert? When youre talking to him, hes looking at your shoes.
2020-04-24--20:04:55 INFO   com.demo  (67-2) College is really just kidnapping done backwards. If you dont give us a ridiculously large amount of money, well send you your child back.
2020-04-24--20:04:55 INFO   com.demo  (68-2) An SQL statement walks into a bar and sees two tables. It approaches, and asks may I join you?
2020-04-24--20:04:55 INFO   com.demo  (69-2) A cop pulls over Werner Heisenberg and says, Sir, do you know how fast you were going? Heisenberg responds, NO, but I know EXACTLY where I am.
2020-04-24--20:04:56 INFO   com.demo  (70-2) I just got fired from my job at the keyboard factory. They told me I wasnt putting in enough shifts.
2020-04-24--20:04:56 INFO   com.demo  (71-2) Have you heard of that new band 1023 Megabytes? Theyre pretty good, but they dont have a gig just yet.
2020-04-24--20:04:56 INFO   com.demo  (72-2) Question Why did the computer show up at work late? Answer It had a ?hard drive.
2020-04-24--20:04:57 INFO   com.demo  (73-2) I saw a driver texting and driving. It made me so mad I threw my beer at him.
2020-04-24--20:04:57 INFO   com.demo  (74-2) The oldest computer can be traced back to Adam and Eve. It was an apple but with extremely limited memory. Just 1 byte. And then everything crashed.
2020-04-24--20:04:57 INFO   com.demo  (75-2) I started a band called 999 megabytes we still havent gotten a gig
2020-04-24--20:04:58 INFO   com.demo  (76-2) I saw a sign that said watch for children and I thought, That sounds like a fair trade
